Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07221985,29.65051,29.05586,26.68902,26.752,26.30441,31.68347,30.90319,33.91582,35.24049,35.36232,37.34573,38.72564,37.76113,16.19583,16.40542,15.27177,15.59921,,
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.768769979,0.923879981,0.951129973,1.094589949,1.022600055,1.117319942,1.267570019,1.408220053,1.808330059,1.945639968,,,1.722880006,,,,2.155400038,1.707739949,,,2.211410046,,,,,,,,,,,,,1.20234,1.19937,,,,,3.77498,,3.62226,,,8.23068,,,,9.68642
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583549976,0.548280001,0.553070009,0.545040011,0.505010009,,,,,,0.549719989,0.498290002,,,0.71336,2.635,1.97574,2.43892,2.37982,,,,,6.1303,,8.83833,,8.40094,9.33626,,
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,13.90814018,14.92790985,,,,,,5.831419945,,,5.189400196,,5.926119804,6.559989929,7.025909901,7.221210003,7.326869965,7.737959862,8.148280144,8.366359711,8.855330467,9.287320137,11.1776104,10.63358021,10.20281982,10.93945026,12.69972038,13.55016994,14.74777031,15.53661,15.90463,16.31143,16.65724,19.89044,23.18983,26.63714,30.68713,32.0928,33.38555,44.54925,49.8787,59.25201,64.63443,65.78297,62.00762,58.38185,57.37526,54.96133
Andorra,AND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,5.964260101,5.982069969,6.234360218,6.596809864,7.001060009,7.550489902,8.215459824,8.864370346,9.308520317,9.351790428,9.695759773,10.27521038,10.64377022,10.81293964,11.08580017,11.07236958,11.36942005,11.39638042,11.38136959,11.03497028,11.0605402,10.7758503,11.4280901,12.34727955,12.9927702,13.8589201,14.78400993,15.75998974,16.53046036,17.93545914,18.18478966,18.78849983,19.60008049,19.60643005,20.77492905,21.83639908,22.34388924,22.94668007,23.70182991,24.39759064,25.06339,24.50504,25.87412,27.43039,28.61852,30.13177,30.89846,31.77963,32.21509
United Arab Emirates,ARE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,13.24435043,15.30603027,16.48376083,19.61808014,22.74868965,26.97598076,27.07181931,24.07761955,21.3801899,22.2299099,21.73468971,23.10263062,23.82999992,24.83893013,28.6764698,35.49594879,37.42499161,39.22064972,,,,38.11911011,,,37.00133133,,,,46.96070099,48.83171844,53.96481,59.01155,62.74873,65.17626,65.48537,63.96667,66.96473,66.41163,68.05695,70.20646,73.2314,76.2974,77.44629,78.2239,80.99581,84.002,87.21345,89.95852,
Armenia,ARM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59959984,,18.79870987,20.43589973,23.20482063,25.3567009,25.34211922,23.02763939,19.12430954,19.08213997,16.93857002,22.7202301,33.5735817,35.21240997,35.54979,33.5453,36.14686,37.21888,37.88314,39.54677,43.11535,45.93094,48.48933,51.33459,52.98915,53.33778,46.15803,45.73739,47.08219,46.5218,51.08019,52.25153,54.57048
American Samoa,ASM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05298,16.72623,15.05922,24.83026,,,,,,
Australia,AUS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,15.81655025,17.09435081,18.38301086,19.59012985,21.81735039,23.28160095,24.07530022,24.43742943,24.78083992,25.00351906,25.15468979,25.58522987,25.64088058,26.36245918,27.00481033,27.91073036,29.51505089,29.68458939,31.49957085,32.65396118,35.35955048,38.31346893,39.70084,65.56421661,66.97921753,70.68856812,75.64778137,80.90664673,,,,,,,,,,,,,,,,,,118.6109,120.9657,113.1422,
Austria,AUT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,12.19836998,13.66956043,15.10840034,15.99359035,16.67403984,18.5449791,19.28277969,19.72422981,20.42885017,21.36816978,22.30216026,22.46463013,22.98781013,23.94280052,25.52486038,26.70454025,27.81727028,29.37026024,30.58758926,32.5364418,34.69429016,37.61071014,39.76937866,42.26459885,44.9769516,47.49055099,49.56702042,52.39627838,,,,,,,,,63.04729,65.8869,68.11265,75.62378,78.49945,78.93891,79.6554,79.1587,80.71942,83.45495,85.05714,
Azerbaijan,AZE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,24.03103065,,,,,23.87731934,,25.2077198,24.48163986,24.19890976,24.75927925,25.23917007,22.22587967,19.35499954,18.38257027,18.08035088,17.58492088,,,,,,,,,19.78946,19.3646,19.04789,19.05771,19.26004,19.64731,20.43846,21.44043,23.15973,25.4832,25.92642,27.06741,27.7085
Burundi,BDI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.171700001,0.174620003,0.164120004,0.240559995,0.246690005,0.294719994,,,0.448850006,0.452030003,0.462460011,0.502030015,,0.57069999,0.589890003,0.643959999,0.626190007,0.740760028,0.741240025,0.702390015,0.787310004,0.851719975,0.959410012,,,,,0.945879996,1.044880033,1.22362,1.19844,1.88244,,2.44521,2.46322,2.4537,2.48913,2.66849,2.82033,3.25461,3.06924,3.77758,4.54625,5.13304,,5.8402,6.05016,
Belgium,BEL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,17.13532066,17.54558945,19.5174408,20.50785065,20.80525017,,,24.39678955,25.64981079,25.11825943,24.48595047,26.41571045,27.14603043,28.19136047,30.88913918,31.67756081,32.99660873,34.00875092,35.55627823,37.68367004,39.10773087,,44.85168839,47.91450882,53.43436813,55.44696045,,,57.12717056,58.16906,58.85634,59.38278,59.83446,61.02287,61.08548,61.65359,61.20013,62.08624,65.26769,67.82901,69.84253,71.19202,72.11549,72.9974,74.55976,75.89064,79.66173,
Benin,BEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.128769994,0.236210003,0.430500001,0.709710002,0.686320007,0.743160009,0.989759982,1.095759988,0.973290026,1.060279965,1.457069993,1.731750011,1.879169941,1.944990039,2.014159918,2.414109945,2.290469885,2.222480059,2.364039898,2.155380011,2.460309982,2.31566,2.095269918,2.144010067,2.143549919,2.112449884,2.562000036,,3.265619993,3.71153,4.49685,5.32183,5.90655,5.98285,5.91417,6.81086,8.13719,8.04726,10.23199,13.77512,12.85589,13.9552,15.96484,15.95352,13.55343,12.9494,12.27414,
