country,land_hect,10_tc_ha,10_tc_pc,25_tc_ha,25_tc_pc,50_tc_ha,50_tc_pc,75_tc_ha,75_tc_pc,gain_01_12_ha,loss_10_pc,loss_25_pc,loss_50_pc,loss_75_pc,total_loss,latitude,longitude
Afghanistan,64373015,432029,0.007,254792,0.004,148395,0.002,75488,0.001,303,1842,1775,1371,585,0.004,,
Albania,2820023,839613,0.298,707257,0.251,535316,0.19,364173,0.129,7371,29889,29164,26655,21185,0.035,,
Algeria,230782511,1690550,0.007,1316860,0.006,895632,0.004,496701,0.002,32531,69773,67603,54051,32907,0.04,,
Andorra,45186,20722,0.459,19345,0.428,16890,0.374,13311,0.295,19,55,54,50,35,0.003,,
Angola,124580605,95951194,0.77,63356460,0.509,31935474,0.256,3788258,0.03,63757,1919567,1489667,834036,176156,0.02,,
Anguilla,7831,2889,0.369,2350,0.3,1372,0.175,505,0.064,29,48,44,24,8,0.016,,
Antigua and Barbuda,41930,21241,0.507,19815,0.473,17278,0.412,13994,0.334,247,429,426,408,355,0.02,,
Argentina,275385719,43380412,0.158,40144291,0.146,23117654,0.084,10594998,0.038,643023,4304729,4191819,2734447,1296635,0.092,,
Armenia,2835181,384433,0.136,346950,0.122,295067,0.104,225219,0.079,1276,1942,1903,1779,1476,0.005,,
Aruba,17809,217,0.012,41,0.002,16,0.001,12,0.001,1,2,2,2,1,0.011,,
Australia,767648149,65955071,0.086,46666103,0.061,25737389,0.034,17789008,0.023,1414238,3537064,3056810,1324983,1091510,0.052,,
Austria,8318092,4514674,0.543,4388165,0.528,4113836,0.495,3393343,0.408,65844,200794,200421,198209,185258,0.043,,
Azerbaijan,8513504,1488622,0.175,1330609,0.156,1113105,0.131,819289,0.096,864,7002,6769,6000,4321,0.005,,
Bahamas,1176878,357615,0.304,314085,0.267,256978,0.218,199471,0.169,790,9239,9136,8488,7512,0.025,,
Bangladesh,12964958,2683272,0.207,2097412,0.162,1541428,0.119,696480,0.054,7043,53341,52862,50527,38920,0.02,,
Barbados,43230,6068,0.14,5442,0.126,4622,0.107,3596,0.083,192,275,265,230,186,0.045,,
Belarus,20480773,9653812,0.471,9256764,0.452,8373276,0.409,5791322,0.283,375462,415145,414043,405172,350446,0.043,,
Belgium,3051411,971025,0.318,890549,0.292,776670,0.255,575580,0.189,37347,59593,59361,58295,52428,0.06,,
Belize,2161988,1777155,0.822,1754686,0.812,1710948,0.791,1643402,0.76,12820,120218,120069,119037,115525,0.064,,
Benin,11504357,8884117,0.772,605190,0.053,8980,0.001,848,0,6900,325496,47254,6734,800,0.035,,
Bermuda,5394,711,0.132,637,0.118,435,0.081,260,0.048,39,4,4,4,3,0.006,,
Bhutan,3993478,2682813,0.672,2616304,0.655,2369172,0.593,1665209,0.417,2154,12271,12011,10746,7252,0.005,,
Bolivia,107450105,66485397,0.619,65004096,0.605,57489905,0.535,47838701,0.445,173640,2953319,2940295,2806296,2376826,0.043,,
Bonaire Sint Eustatius and Saba,28486,3193,0.112,2593,0.091,1750,0.061,1264,0.044,67,48,47,45,41,0.015,,
Bosnia and Herzegovina,5085147,2899529,0.57,2730281,0.537,2477038,0.487,2054554,0.404,26529,17976,17272,15791,12016,0.006,,
Botswana,57765210,2412669,0.042,54216,0.001,1279,0,22,0,89,5082,952,48,3,0.002,,
Brazil,838484205,548446992,0.654,526626286,0.628,475694623,0.567,429241672,0.512,7586593,34164293,33657795,30576208,26218462,0.059,,
British Virgin Islands,15303,8473,0.554,7727,0.505,6852,0.448,5846,0.382,13,59,59,57,51,0.007,,
Brunei,572499,532334,0.93,529133,0.924,522288,0.912,506558,0.885,8795,16991,16959,16828,16135,0.031,,
Bulgaria,11129623,4477514,0.402,4263385,0.383,3872341,0.348,3207043,0.288,67810,76599,76127,74141,67013,0.017,,
Burkina Faso,27416953,3214363,0.117,1120,0,6,0,0,0,0,189503,550,6,0,0.056,,
Burundi,2496703,2280071,0.913,836728,0.335,141086,0.057,22187,0.009,3556,20357,16168,7546,1089,0.009,,
Cambodia,17767976,10199261,0.574,9161616,0.516,7483127,0.421,5843064,0.329,109590,1228807,1211046,1136215,888417,0.109,,
Cameroon,46307428,41743050,0.901,34268890,0.74,25257885,0.545,17470233,0.377,65079,480723,426731,357610,198144,0.011,,
Canada,845153603,469569850,0.556,431017879,0.51,324189717,0.384,216726246,0.256,9107139,26199493,25708255,21230224,16600675,0.054,,
Cape Verde,394111,10829,0.027,7862,0.02,3745,0.01,2435,0.006,2034,131,88,73,59,0.015,,
